('pid constants ', array([ 0.59713894,  0.00079468,  0.0065708 ]))
('pid constants ', array([ 0.59713894,  0.00079468,  0.0065708 ]))
('pid constants ', array([ 0.59713894,  0.00079468,  0.0065708 ]))
('pid constants ', array([ 0.59713894,  0.00079468,  0.0065708 ]))
('pid constants ', array([ 0.59713894,  0.00079468,  0.0065708 ]))
('pid constants ', array([ 0.45315311,  0.00081241,  0.00996277]))
('pid constants ', array([ 0.45315311,  0.00081241,  0.00996277]))
('pid constants ', array([ 0.45315311,  0.00081241,  0.00996277]))
('pid constants ', array([ 0.45315311,  0.00081241,  0.00996277]))
('pid constants ', array([ 0.45315311,  0.00081241,  0.00996277]))
('pid constants ', array([ 0.12092961,  0.00090878,  0.00054082]))
('pid constants ', array([ 0.12092961,  0.00090878,  0.00054082]))
('pid constants ', array([ 0.12092961,  0.00090878,  0.00054082]))
('pid constants ', array([ 0.12092961,  0.00090878,  0.00054082]))
('pid constants ', array([ 0.12092961,  0.00090878,  0.00054082]))
('pid constants ', array([ 0.05202602,  0.00043985,  0.00958064]))
('pid constants ', array([ 0.05202602,  0.00043985,  0.00958064]))
('pid constants ', array([ 0.89542196,  0.00096524,  0.00630137]))
('pid constants ', array([ 0.89542196,  0.00096524,  0.00630137]))
('pid constants ', array([ 0.89542196,  0.00096524,  0.00630137]))
('pid constants ', array([ 0.89542196,  0.00096524,  0.00630137]))
('pid constants ', array([ 0.89542196,  0.00096524,  0.00630137]))
('pid constants ', array([  6.35984719e-02,   7.83196787e-04,   1.27695139e-05]))
('pid constants ', array([  6.35984719e-02,   7.83196787e-04,   1.27695139e-05]))
('pid constants ', array([  6.35984719e-02,   7.83196787e-04,   1.27695139e-05]))
('pid constants ', array([  6.35984719e-02,   7.83196787e-04,   1.27695139e-05]))
('pid constants ', array([  6.35984719e-02,   7.83196787e-04,   1.27695139e-05]))
('pid constants ', array([  3.80371031e-01,   3.08509546e-05,   6.39861352e-03]))
('pid constants ', array([  3.80371031e-01,   3.08509546e-05,   6.39861352e-03]))
('pid constants ', array([  3.80371031e-01,   3.08509546e-05,   6.39861352e-03]))
('pid constants ', array([  3.80371031e-01,   3.08509546e-05,   6.39861352e-03]))
('pid constants ', array([  3.80371031e-01,   3.08509546e-05,   6.39861352e-03]))
('pid constants ', array([ 0.04579327,  0.0004788 ,  0.0014679 ]))
('pid constants ', array([ 0.04579327,  0.0004788 ,  0.0014679 ]))
('pid constants ', array([ 0.04579327,  0.0004788 ,  0.0014679 ]))
('pid constants ', array([ 0.04579327,  0.0004788 ,  0.0014679 ]))
('pid constants ', array([ 0.04579327,  0.0004788 ,  0.0014679 ]))
('pid constants ', array([  5.00669795e-01,   1.48824086e-04,   9.23915201e-04]))
('pid constants ', array([  5.00669795e-01,   1.48824086e-04,   9.23915201e-04]))
('pid constants ', array([  6.28982865e-01,   3.58164330e-04,   8.87343359e-03]))
('pid constants ', array([  6.28982865e-01,   3.58164330e-04,   8.87343359e-03]))
('pid constants ', array([  6.28982865e-01,   3.58164330e-04,   8.87343359e-03]))
('pid constants ', array([  6.28982865e-01,   3.58164330e-04,   8.87343359e-03]))
('pid constants ', array([  6.28982865e-01,   3.58164330e-04,   8.87343359e-03]))
('pid constants ', array([ 0.06983367,  0.00031232,  0.0067773 ]))
('pid constants ', array([ 0.06983367,  0.00031232,  0.0067773 ]))
('pid constants ', array([ 0.06983367,  0.00031232,  0.0067773 ]))
('pid constants ', array([ 0.06983367,  0.00031232,  0.0067773 ]))
('pid constants ', array([ 0.06983367,  0.00031232,  0.0067773 ]))
('pid constants ', array([ 0.77573281,  0.00077882,  0.00670593]))
('pid constants ', array([ 0.77573281,  0.00077882,  0.00670593]))
('pid constants ', array([ 0.77573281,  0.00077882,  0.00670593]))
('pid constants ', array([ 0.77573281,  0.00077882,  0.00670593]))
('pid constants ', array([ 0.77573281,  0.00077882,  0.00670593]))
('pid constants ', array([ 0.46688085,  0.00069449,  0.00113304]))
('pid constants ', array([ 0.46688085,  0.00069449,  0.00113304]))
('pid constants ', array([ 0.46688085,  0.00069449,  0.00113304]))
('pid constants ', array([ 0.46688085,  0.00069449,  0.00113304]))
